Season,Episode,Speaker,Line
1,1,jesse,no you flunked me remember
1,1,walter,no wonder
1,1,jesse,prick now let me tell you something else this aint chemistry this is art cooking is art and the shit i cook is the bmb so dont be telling me
1,1,walter,the shit you cook is shit i saw your setup ridiculous you and i will not make garbage we will produce a chemically pure and stable product that performs as advertised no adulterants no baby formula no chili powder
1,1,jesse,no no chili p is my signature
1,1,walter,not anymore
1,1,jesse,yeah well well see about that what the hell is this
1,1,walter,lab safety equipment were also gonna have an emergency eye wash station these chemicals and their fumes are toxic in case you didnt know that
1,1,jesse,well you can dress up like a fggt if you want not me listen this stuff doesnt stay more than a day
1,1,walter,what i thought we were gonna cook here
1,1,jesse,no were not gonna cook here okay this is my house i dont shit where i eat
1,1,walter,well then where are we gonna work
1,1,jesse,you tell me this is your deal you want to smoke it up smoke it up at your house nah i didnt think so
1,1,walter,oh well well what if we rented one of those selfstorage places you know those little orange garages worked out of there
1,1,jesse,no theyre on to that they got dogs that sniff around rv thats what you want
1,1,walter,what like a winnebago
1,1,jesse,yeah i know a dude who wants to sell his he just goes camping with it but a mobile meth lab thatd be the bmb i mean drive way out in the boonies be all evasive
1,1,jesse,dude this isnt even 7 grand my guy wants 85
1,1,walter,this is all the money i have in the world youre a drug dealer negotiate
1,1,jesse,you are not how i remember you from class i mean like not at all
1,1,walter,i gotta go
1,1,jesse,wait wait hold on tell me why youre doing this seriously
1,1,walter,why do you do it
1,1,jesse,money mainly
1,1,walter,there you go
1,1,jesse,nah come on man some straight like you giant stick up his ass all of a sudden at age what 60 hes just gonna break bad
1,1,walter,im 50
1,1,jesse,its weird is all okay it doesnt compute listen if youve gone crazy or something i mean if youve if youve gone crazy or depressed im just saying thats something i need to know about okay i mean that affects me
1,1,walter,i am awake
1,1,jesse,what
1,1,walter,buy the rv we start tomorrow
1,1,skyler,hows it coming in there
1,1,walter jr,fine
1,1,skyler,do you want me or your dad
1,1,walter jr,dad
1,1,skyler,so how are those feeling in the waist are they too tight cause you dont want to get em if theyre too tight
1,1,walter jr,theyre preshrunk
1,1,skyler,are you sure you dont want to get a different kind like you know the skinny jeans those are really supposed to be in style now the skaters wear them
1,1,walter jr,do i look like a skater
1,1,skyler,all right
1,1,walter,dont
1,1,skyler,what
1,1,walter,dont
1,1,skyler,walt
1,1,walter jr,where
1,1,skyler,i have no idea you know what dont even look at them theyre obviously very stupid yep i think that um i think those jeans look really good on you you should get em if you like em okay why dont you just hang out here for a second ill be right back
1,1,walter jr,fine
1,1,walter,whats wrong chief having a little trouble walking
1,1,walter,well youll have one shot you better make it good what are you waiting for your girlfriends you better go take it take your shot take it come on come on
1,1,jesse,yeah nothing but cows got some big cow house way out that way like 2 miles but i dont see nobody
1,1,walter,cow house
1,1,jesse,yeah where they live the cows whatever man yeah lets cook here
1,1,walter,cow house god help me
1,1,jesse,what are you doing
1,1,walter,these are my good clothes i cant go home smelling like a meth lab
1,1,jesse,yeah you can i do those those uh youre keeping those on right
1,1,walter,come on daylights burning
1,1,jesse,oh my god oh this is uh this is a good look for you and youre maybe only the worlds second biggest hm
1,1,walter,would you shut up and help me
1,1,jesse,oh yeah oh yeah work it baby work it
1,1,walter,turn that off
1,1,jesse,this is glass grade i mean you gotjesus you got crystals in here two inches three inches long this is pure glass youre a gddmn artist this is art mr white
1,1,walter,actually its just basic chemistry but thank you jesse im glad its acceptable
1,1,jesse,acceptable youre the gddmn iron chef every jibhead from here to timbuktu is going to want a taste now i gotta try this
1,1,walter,no no no we only sell it we dont use it
1,1,jesse,okay since when listen youve been watching way too much miami vice that aint happening
1,1,walter,so what now how do we proceed
1,1,jesse,we cook more tomorrow meantime i know just the guy to talk to
1,1,jesse,kraze how you doing my man you got a new dog right on man whats his name yeah i had a dog like that once except maybe like twice as big super purebred now me personally i would train him to go straight for the nuts
1,1,jesse,i aint buying ese im selling tell me that aint the finest scante you ever laid eyes on go ahead try it hey poochie how you doing jesus christ see whatd i say
1,1,jesse,its all right its all right
1,1,jesse,hell yeah im back with a vengeance vato loco gotta make a living you know with your cousin gone away and all and listen homes about that it really broke me up about emilio that dude is like my brother he okay you talk to him
1,1,jesse,hey you know i got lucky twice
1,1,jesse,that is bullshit that is bullshit krazy8 i should kick his punk ass for even thinking that you know what next time you talk to emilio you tell him for me all right
1,1,jesse,hey listen
1,1,walter,id be willing to sell it to you if the price is right
1,1,walter,no
1,1,jesse,run mr white run
1,1,walter,yeah
1,1,walter,wait wait a minute listen to me ill teach you my recipe what do you say you want to cook like me you let us both live and i will teach you put the cigarette out please
1,1,walter,okay
1,1,jesse,what happened whatd you do to them
1,1,walter,red phosphorus in the presence of moisture and accelerated by heat yields phosphorus hydride phosphine gas one good whiff andwe gotta we gotta clean this up
1,1,skyler,where were you walt i dont know whats been going on with you lately but
1,1,walter,nothing im fine
1,1,skyler,whatever it is ill tell you this i do not like it when you dont talk to me the worst thing you can do is shut me out walter is that you
1,2,walter,you are a lifesaver
1,2,jesse,yeah man
1,2,walter,we cant thank you enough
1,2,jesse,hey mad props
1,2,walter,i could have sworn the guy said south but then all of a sudden were off the main road im trying to read the map while im driving which is a bonehead maneuver and all of a sudden bam were in that ditch
1,2,jesse,yeah bam im like what the hell you know
1,2,walter,yes and my coffee mug coffee my mug of coffee it spills all over my pants i mean just a nightmare
1,2,jesse,dude you so need gps i mean for real
1,2,walter,like i said we couldnt be more grateful
1,2,jesse,cant we just dump em here
1,2,walter,what then somebody finds them then what people have seen us
1,2,jesse,youre gonna flood it man
1,2,walter,im not gonna flood it shes not gonna flood all right were just gonna stay positive right were going to clean up this mess wish you would start
1,2,jesse,damn it see you flooded it
1,2,walter,all right all right you know what the rv is going to start now the rv is going to start right now its gonna start and were gonna drive it over to your house
1,2,jesse,my house
1,2,walter,yes well drive it over there and park it overnight and then tomorrow
1,2,jesse,no man not my house
1,2,walter,shut up after we finish cleaning up this mess we will go our separate ways our paths will never cross and we will tell this to no one understood
1,2,jesse,what i can talk now fine that goes double for me
1,2,walter,be good to me oh shit
1,2,skyler,walt you coming out
1,2,walter,yeah absolutely
1,2,walter,you wanna hear something funny we had a faculty meeting last thursday and the topic was senior class photos and how we had instituted a new rule last year that seniors are allowed to have photos taken by a photographer of their choice not necessarily the photographer that the school hires right so anyway some of the senior girls were going to that glamour shts place to have their photos taken and now theyre bringing us all these photos and joan epperman you know joan suddenly has to go through all these photos and turn them down because they show cleavage
1,2,skyler,did you get enough pancakes sweetie
1,2,walter jr,yeah im good
1,2,walter,you know even these smallbusted girls have cleavage apparently theres some new type of brassiere or something
1,2,walter jr,the wonderbra its the wonderbra
1,2,walter,hey there youve reached walt skyler and walter junior we cant come to the phone right now so please leave us a message
1,2,jesse,hello mr white this is att calling are you happy with your current long distance service cause if youre not i would definitely really love to talk to you as soon as possible about
1,2,walter,hello hello this is walter white speaking
1,2,jesse,you said he was practically dead okay you said he would die any minute
1,2,walter,listen i am having breakfast with my family right now and i really dont appreciate these sales calls
1,2,jesse,well too bad man cause guess what hes still not dead i went and put my ear to the rv i can hear him like rolling around in there all right i think hes awake man i think hes trying to get loose where the hell are you im freaking out over here
1,2,walter,calm down damn it
1,2,jesse,are you gonna help me clean this up we got loose ends here
1,2,walter,calm down i will be there after school
1,2,jesse,after school are you sh1tting me ditch it man call in sick
1,2,walter,listen that is just not going to work for me im not interested in that at all and i would appreciate it if you dont call here anymore damn theyre so annoying those people
1,2,skyler,you have a good day sweetie
1,2,walter jr,okay mom you too
1,2,skyler,bye honey drive safe
1,2,walter,okay
1,2,jesse,yo yo yo 1483369 representing the abq what up biatch leave it at the tone
1,2,walter,so the term chiral derives from the greek word hand  the concept here being that just as your left hand and your right hand are mirror images of one another right identical and yet opposite well so too organic compounds can exist as mirror image forms of one another all the way down at the molecular level but although they may look the same they dont always behave the same for instanceim sorry for instance thalidomide the righthanded isomer of the drug thalidomide is a perfectly fine good medicine to give to a pregnant woman to prevent morning sickness but make the mistake of giving that same pregnant woman the lefthanded isomer of the drug thalidomide and her child will be born with horrible birth defects which is precisely what happened in the 1950s so chiral chirality mirrored images right active inactive good bad yes ben
1,2,walter,what
1,2,walter,the chirality on the midterm no no well maybe maybe yes you know but prepare for it to be on the midterm cant hurt to know it right knowledge is power
1,2,jesse,oh no no not good not good
1,2,walter,what thehey you listen no no no no oh god
1,2,skyler,milfs what the hell is a milf
1,2,walter,now what the other one out in the rv hesyoure sure
1,2,jesse,yes
1,2,walter,positive
1,2,jesse,feel free to go check it yourself
1,2,walter,yes good idea maybe i should do that before he too wanders off on the damn street
1,2,jesse,okay you know what i
1,2,walter,all right all right the one downstairs tell me about him come on anything something start with his name at least
1,2,jesse,krazy8
1,2,walter,krazy8 what the hell does that even mean
1,2,jesse,i dont know man okay i mean hes like krazy8 okay i dont know
1,2,walter,so you work with him regularly
1,2,jesse,no not him so much his cousin mainly
1,2,walter,whos his cousin
1,2,jesse,the guy out in the rv
1,2,walter,all right all right
1,2,jesse,krazy8s one level higher
1,2,walter,one level higher
1,2,jesse,yeah you know not like street level higher you know theres like a starbucks at every corner krazy8 is like the dude that sells starbucks his beans
1,2,walter,okay so hes a distributor okay so is he i mean is he in other words what is his reputation for volence
1,2,jesse,well um he did try to kll us both yesterday so theres that
1,2,walter,what im trying to say is that hes a distributor right hes a businessman hes a man of business it would therefore seem to follow that he is capable of acting out of mutual selfinterest yes
1,2,jesse,what
1,2,walter,do you think he is capable of listening to reason
1,2,jesse,what kind of reason like dear krazy8 listen if i let you go will you promise not to come back and waste my family no colombian neckties  you mean that kind of reason no man i cant say i have high fcking hopes where thats concerned what was that what was what come see we gotta tie him up why the hell didnt we tie him up
1,2,walter,because he was out cold
1,2,jesse,but what if hes faking it like if it was me id be all faking being knocked out yo and then when the coast is clear id be up looking for weapons and shit waiting to pounce
1,2,jesse,now if it was me and i couldnt find a decent enough wapon i would just lie back down and bide my time
1,2,jesse,so now what do we do
1,2,walter,you keep asking me that like you think i have some answer
1,2,jesse,well you gotta do something
1,2,walter,we we have got to do something and i am opened to suggestions
1,2,jesse,man uhuh okay this whole thing was your deal
1,2,walter,dont you dare put that on me you brought those guys out there this is your responsibility
1,2,jesse,like i came to you begging to cook meth hey nerdiest old dude i know you wanna come cook crystal please id ask my diaperwearing granny but her wheelchair wouldnt fit in the rv  what about the phosphate gas
1,2,walter,phosphine gas what about it
1,2,jesse,i mean do you think it still might kll him you know with like a delayed reaction or something
1,2,walter,i dont know
1,2,jesse,youre supposed to be a scientist
1,2,walter,look this isnt even the issue that demands immediate attention we have got a body in that rv and its getting warmer outside understand and we have got to do something about that soon and in a way that no one will ever find it now that last part is very very important therefore it seems to me that our best course of action would be chemical disincorporation dissolving in strong acid
1,2,jesse,oh man thats messed up youre not serious youre serious whos gonna do that and dont look at me
1,2,walter,i guess well both do it together
1,2,jesse,no mr white okay im not good with dead bodies
1,2,walter,were in this 5050 okay i guess the only other fair way to go about this would be that one of us deals with the body situation while the other one of us deals with the krazy8 situation in a scenario like this i dont suppose it is bad form to just flip a coin heads or tails
1,2,jesse,ill do the body in the acid okay
1,2,walter,heads or tails
1,2,jesse,heads
1,2,walter,best two out of three
1,2,jesse,yo yo yo 1483369 representing the abq what up biatch leave it at the tone
1,2,jesse,mr white its me pick up i got a container question hello mr white pick up the phone man
1,2,walter,yes
1,2,jesse,what kind of plastic man
1,2,walter,polyethylene
1,2,jesse,how the hell am i supposed to know that
1,2,walter,because i told you look just look at the bottom for a triangle stamped ldpe  it should be molded right into the plastic
1,2,jesse,yeah yeah ldpe right on got it but i dont know man this feels kind of flimsy any decent acids gonna eat right through this
1,2,walter,not hydrofluoric
1,2,jesse,why not
1,2,walter,look you skipped clowned around or otherwise jerked off to every lecture i ever gave as far as im concerned your chemistry education is over
1,2,jesse,oh okay be a dck about it so hey have you done the thing
1,2,walter,yeah im working up to it
1,2,jesse,you know what i bet he doesnt even wake up not even if you took him to the hospital right now now if it was me i would just try and think of it like i was doing him a favor
1,2,walter,you dont like the crust
1,2,jesse,hey mr white mr white are you smoking weed oh my god wait a minute is that my weed what the hell man make yourself at home why dont you
1,2,walter,so what did you end up buying
1,2,jesse,nothing no store in town sells a plastic bin big enough for a body
1,2,walter,i dont suppose you could buy two bins legs in one torso in the other
1,2,jesse,god i dont suppose you could kiss my ass how did it go so you didnt do it
1,2,walter,not yet god i gotta go
1,2,jesse,what no come back here
1,2,walter,sorry ill do it tomorrow i promise
1,2,jesse,tomorrow
1,2,walter,ive got a doctors appointment i gotta go look stay away from him hes awake
1,2,jesse,hey man we flipped a coin we flipped a coin
1,2,skyler,were good
1,2,skyler,girl
1,2,walter,you sure
1,2,walter,can i tell you this is exactly what i was hoping
1,2,skyler,you remember you said that when shes 16 and starts dating
1,2,skyler,who is jesse pinkman
1,2,walter,jesse
1,2,skyler,jesse pinkman he called just this morning walt please dont deny it it says on his myshout page he attended wynne was he one of your students
1,2,walter,yeah he was nobody
1,2,skyler,who is he to you why is he calling what is this big secret you seem to be discussing with some druggie burnout you dont come home last night until 2 in the morning you dont tell me where youve been you spent the entire night in the bathroom walt tell me whats going on with you dont you think you owe me that whos this jesse pinkman to you
1,2,walter,he sells me pot
1,2,skyler,he sells you pot
1,2,walter,marijuana yeah not a lot i mean i dont know i kinda like it
1,2,skyler,are you out of your mind what are you like 16 years old your brotherinlaw is a dea agent what is wrong with you
1,2,walter,skyler i just havent quite been myself lately
1,2,skyler,yeah no shit thanks for noticing
1,2,walter,i havent been myself lately but i love you nothing about that has changed nothing ever will so right now what i need is for you to climb down out of my ass can you do that will you do that for me honey will you please just once get off my ass you know id appreciate it i really would
1,2,walter,stop stop in 15 minutes
1,2,jesse,just meat is all just a bunch of meat oh jesus its cool youre cool youre all good yo youre all good in the hood its fine just a bunch of meat come on you got it
1,2,skyler,excuse me excuse me you yes you may i talk to you
1,2,jesse,this is private property
1,2,skyler,just a minute i wanna talk to you
1,2,jesse,no im not interested
1,2,skyler,hey dont touch me do not touch me
1,2,jesse,all right look not touching okay not touching here look lady whatever youre selling i aint buying yo
1,2,skyler,well my name is skyler white yo my husband is walter white yo he told me everything
1,2,jesse,seriously
1,2,skyler,thats right and just so you know my brotherinlaw is a dea agent and i will not hesitate to call him not if i have to understood this is your one and only warning do not sell marijuana to my husband okay i mean it dont call our house again you stay away from him or youll be one sorry individual you got me
1,2,jesse,i think so yeah no more marijuana i can dig it
1,2,skyler,you can dig it wonderful not that its any of my business but you might wanna consider a different line of work
1,2,jesse,okay
1,2,jesse,lets go to your house yo makes perfect sense lets completely screw up your house so you never wanna spend another night in it sure you know why not and then how about i send over my psychobtch wife to you know break your balls and thraten you god thatd be hilarious and then the kller in the basement the one whos completely my responsibility hell lets just let him live down there just i dont know make sure to feed him like three times a day sure why not that would be amazing thank you so much for the opportunity i always dreamt about i dont know melting bodies
1,2,jesse,you got a brother in the goddamned dea
1,2,walter,what
1,2,jesse,you said you were just doing some ridealong yes or no do you have a brother in the dea
1,2,walter,brotherinlaw
1,2,jesse,now theres a load off my mind
1,2,walter,where did you hear that
1,2,jesse,your freaking wife told me when she was here all up on my shit yeah thats right she almost caught me moving emilio good job in wearing the pants in the family and why did you go and tell her i was selling you weed
1,2,walter,because somehow it seemed preferable to admitting that i cooked crystal meth and klled a man is that what i think it is
1,2,jesse,yeah it is i smoked a bowl so what my house my rules hey no no dont give me that okay i held up my end i already took care of emilio youre still diddling around trying to get your nut up well boohoo
1,2,walter,i have the truly awful job here
1,2,jesse,you wanna talk awful you wanna go there try dragging 200 pounds of stink up a flight of stairs i barely got him in the bathtub
1,2,walter,bathtub what do you mean bathtub
1,2,jesse,thats another thing why you got me running around town trying to find some stupid piece of plastic when i have a perfectly good tub i can use
1,2,walter,oh god im sorry what were you asking me oh yes that stupid plastic container i asked you to buy you see hydrofluoric acid wont eat through plastic it will however dissolve metal rock glass ceramic so theres that
1,3,walter,lets break it down hydrogen what does that give us
1,3,gretchen,by mole were looking at 63
1,3,walter,63 wow that is a big bite my next steps gotta be oxygen
1,3,gretchen,oxygen 26
1,3,walter,26 there you have your water
1,3,gretchen,carbon 9
1,3,walter,carbon 9
1,3,gretchen,for a total of 98
1,3,walter,right
1,3,gretchen,nitrogen 125
1,3,walter,125
1,3,gretchen,that brings it to 99 and a quarter which only leaves you with the trace elements down where the magic happens
1,3,walter,oh wait a minute what about calcium calciums not a trace got a whole skeleton to account for
1,3,gretchen,you would think right
1,3,walter,right
1,3,gretchen,calcium calcium is only 25
1,3,walter,what that low seriously damn i never would have thought that okay so where does iron fit in
1,3,gretchen,iron wow okay 00004
1,3,walter,what you cant have hemoglobin without iron
1,3,gretchen,apparently it dont take much
1,3,walter,no it dont go figure sodium
1,3,gretchen,sodium 04 phosphorus 19
1,3,walter,19 there we go so the whole thing adds up to 99888042 we are 111958 shy
1,3,gretchen,supposedly thats everything
1,3,walter,yeah i dont know just seems like somethings missing doesnt it there got to be more to a human being than that
1,3,marie,i hate these shoes these shoes make me look like i should be changing bedpans like i should be squeaking around bringing soup to some disgusting old person then take the bus home to my 16 cats
1,3,walter jr,then why are you wearing them
1,3,marie,i like the support my arches happen to be extremely archy
1,3,walter jr,yo whats up hey can you call me like in two minutes thanks bye gotta go take this
1,3,skyler,female
1,3,walter jr,louis not like its any of your business though
1,3,skyler,just be quick about it oh and um please dont say yo you cant know how much i hate that
1,3,marie,you missed a spot right there should you be up on that ladder
1,3,skyler,youre more than welcome to take over for me up here
1,3,marie,i dont see why you dont just get walt to do it
1,3,skyler,yeah theres an idea so im working on this new short story and theres this stoner character in it and im trying to well know you actually let me backup youve smoked your fair share of pot in college didnt you i mean you at least tried it come on
1,3,marie,i perhaps tried it why
1,3,skyler,do you remember it having an effect on your mood like changing it in any major way or
1,3,marie,it made me more serious
1,3,skyler,really because i mostly remember it made me lightheaded thats about it i was just wondering if it maybe could you know its just a character thing im stuck on never mind
1,3,marie,walter jr is on pot
1,3,skyler,what no no what would make you even
1,3,marie,wheres he getting it from
1,3,skyler,marie seriously
1,3,marie,is it this louis person what are you going to do about this
1,3,skyler,you need to look me in the eye i am strictly asking about a story that i am writing thats all right hand to god walter jr is not on pot certainly not as far as i know
1,3,marie,not as far as you know
1,3,skyler,marie
1,3,walter,im sorry
1,3,walter,how do you know my name
1,3,walter,when he came by to sell your meth so what you thraten him huh did you beat it out of him
1,3,walter,what else did he tell you
1,3,walter,so i should just let you go then just unlock you and adios huh
1,3,jesse,occupied hey yo im trying to pinch one off in here just give me some privacy would ya what the hell man what are you doing man you asshle
1,3,walter,you told him my name
1,3,jesse,says who him
1,3,walter,my name where i work you told him about my son
1,3,jesse,dont touch me
1,3,walter,damn junkie
