Temporada,Episodio,Hablante,Frase,Key Lemmas,Evil Count Level 1: Selfish Evil,Evil Count Level 2: Manipulative Evil,Evil Count Level 3: Aggressive Evil,Evil Count Level 4: Dehumanizing Evil,Evil Count Level 5: Sadistic Evil,Hubris Count Arrogance and Pride,Hubris Count Disregard for Rules,Hubris Count Excessive Emotions,Hubris Count Grandiosity and Transcendence,Hubris Count Power and Control,Hubris Count Self-Justification,Total Evil Count,Total Hubris Count
1,1,skyler,eat it,eat,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,walter jr,so hows it feel to be old,hows feel old,0,0,0,0,1,0,0,0,1,0,0,1,1
1,1,walter,how does it feel to be a smart ass,feel smart as,2,0,2,2,0,2,2,2,0,2,2,6,10
1,1,walter jr,good,good,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,walter,eat your veggie bacon,eat veggie bacon,2,1,2,2,0,2,2,2,0,2,2,7,10
1,1,walter,you all set,set,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter jr,yeah im fine,yeah im fine,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,walter,all right see you at home,right see home,0,0,0,0,0,0,0,0,2,0,0,0,2
1,1,walter jr,okay see you,okay see,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,walter,chemistry it is the study of what anyone ben,chemistry study anyone ben,1,1,1,1,1,1,1,1,1,1,1,5,6
1,1,walter,chemicals no chemistry is well technically chemistry is the study of matter but i prefer to see it as the study of change now just just think about this electrons they change their energy levels molecules molecules change their bonds elements they combine and change into compounds well thats all of life right i mean its just its the constant its the cycle its solution dissolution just over and over and over it is growth then decay then transformation it is fascinating really chad is there something wrong with your table okay ionic bonds are you done ionic bonds chapter 6,chemical chemistry technically chemistry study matter prefer see study change think electron change energy level molecule molecule change bond element combine change compound thats life right mean constant cycle solution dissolution growth decay transformation fascinating really chad something wrong table okay ionic bond done ionic bond chapter,20,5,20,20,10,20,20,20,15,20,20,75,115
1,1,walter,and 2 3 makes 10 and 10 makes 20 heres your receipt and hand this claiming disc to your car wash professional thank you come again,make make here receipt hand claiming disc car wash professional thank come,8,0,8,8,2,8,8,8,4,8,8,26,44
1,1,walter,bogdan no we talked about this,bogdan talked,2,1,2,2,2,2,2,2,0,2,2,9,10
1,1,walter jr,happy birthday dad,happy birthday dad,3,1,3,3,3,3,3,3,2,3,3,13,17
1,1,skyler,youre so very late,youre late,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,marie,shes showing a little,shes showing little,0,0,0,0,0,0,0,0,2,0,0,0,2
1,1,skyler,carmen this is my sister marie,carmen sister marie,2,0,2,2,0,2,2,2,0,2,2,6,10
1,1,marie,hi,hi,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,hank,glck 22 its my daily carry okay i mean unless youre talking what plus pplus loads you can forget the 9mil all right ive seen one of those bounce off a windshield one time,glck daily carry okay mean unless youre talking plus pplus load forget right ive seen one bounce windshield one time,6,1,6,6,4,6,6,6,2,6,6,23,32
1,1,steve,yeah the way you sht,yeah way sht,2,0,2,2,0,2,2,2,2,2,2,6,12
1,1,hank,if youre gonna bring a gn you gotta bring enough gn 40 caliber,youre gon na bring gn got ta bring enough gn caliber,3,3,3,3,0,3,3,3,1,3,3,12,16
1,1,walter jr,this is awesome right here,awesome right,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,hank,nice isnt it,nice isnt,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter jr,dad come check this out,dad come check,1,0,1,1,2,1,1,1,1,1,1,5,6
1,1,walter,yeah i see it,yeah see,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,walter jr,come on take it,come take,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,hank,check it out walt,check walt,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,walter,no no its just heavy,heavy,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,hank,thats why they hire men jesus its not gonna bite you all right looks like keith richards with a glass of warm milk doesnt he hey walt everybody listen up listen up listen up im gonna give a toast a little toast to my brotherinlaw come here walt you got a brain the size of wisconsin but were not gonna hold that against you because your hearts in the right place man your hearts in the right place we love you man we love you everybody to walt nostrovia,thats hire men jesus gon na bite right look keith richards glass warm milk doesnt hey walt everybody listen listen listen im gon na give toast little toast brotherinlaw come walt got brain size wisconsin gon na hold heart right place man heart right place love man love everybody walt nostrovia,21,5,21,21,5,21,21,21,12,21,21,73,117
1,1,hank,oh shit turn on channel 3,oh shit turn channel,1,0,1,1,0,1,1,1,3,1,1,3,8
1,1,hank,at which point we apprehended three individuals and placed them into custody im proud to say the outstanding professionalism of my fellow agents at the albuquerque district office resulted in a substantial amount of methamphetamine being taken off the streets,point apprehended three individual placed custody im proud say outstanding professionalism fellow agent albuquerque district office resulted substantial amount methamphetamine taken street,14,2,14,14,10,14,14,14,4,14,14,54,74
1,1,hank,no maam our agents took the suspects by surprise,maam agent took suspect surprise,3,0,3,3,0,3,3,3,0,3,3,9,15
1,1,steve,damn the tv does add ten pounds,damn tv add ten pound,2,0,2,2,4,2,2,2,0,2,2,10,10
1,1,marie,ten pounds,ten pound,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,hank,hey sit and spin both of you,hey sit spin,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,skyler,hank,hank,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,hank,what sorry you didnt see that,sorry didnt see,0,0,0,0,2,0,0,0,0,0,0,2,0
1,1,skyler,so charming,charming,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,hank,this is clearly an ongoing operation one which was well organized,clearly ongoing operation one organized,3,0,3,3,1,3,3,3,0,3,3,10,15
1,1,walter,hank how much money is that,hank much money,1,0,1,1,0,1,1,1,2,1,1,3,7
1,1,hank,its about 700 grand thats a pretty good haul huh,grand thats pretty good haul huh,3,0,3,3,2,3,3,3,4,3,3,11,19
1,1,hank,as i say its a good day for the citizens of albuquerque when we can put this big a dent in the local drug trade,say good day citizen albuquerque put big dent local drug trade,5,2,5,5,5,5,5,5,0,5,5,22,25
1,1,walter,wow but thats unusual isnt it that kind of cash,wow thats unusual isnt kind cash,3,0,3,3,1,3,3,3,2,3,3,10,17
1,1,hank,well its not the most we ever took its easy money until we catch you walt just say the word and ill take you on a ridealong you can watch us knock down a meth lab get a little excitement in your life,ever took easy money catch walt say word ill take ridealong watch u knock meth lab get little excitement life,8,1,8,8,2,8,8,8,3,8,8,27,43
1,1,walter,well someday,someday,1,0,1,1,1,1,1,1,0,1,1,4,5
1,1,walter,which ones this,one,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,skyler,that fauxlalique vase i picked up at the superswap,fauxlalique vase picked superswap,4,0,4,4,1,4,4,4,0,4,4,13,20
1,1,walter,hows it doing,hows,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,skyler,i met my reserve and theres still two minutes,met reserve there still two minute,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,walter,whats up,whats,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,skyler,you tell me birthday boy oh hey so whats up for saturday,tell birthday boy oh hey whats saturday,4,2,4,4,2,4,4,4,4,4,4,16,24
1,1,walter,car wash bogdan says he needs me,car wash bogdan say need,4,1,4,4,2,4,4,4,1,4,4,15,21
1,1,skyler,until what time noon 1ish,time noon,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,probably 2 more like it,probably,1,2,1,1,0,1,1,1,0,1,1,5,5
1,1,skyler,and then what after that,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,actually i was thinking of driving up to los alamos the visitor center has an exhibit on thats really supposed to be,thinking driving los alamo visitor center exhibit thats really supposed,4,1,4,4,2,4,4,4,3,4,4,15,23
1,1,skyler,youre not gonna paint,youre gon na paint,2,0,2,2,0,2,2,2,0,2,2,6,10
1,1,walter,ill paint its just that this part of this exhibition on the mars rover photographs are the detail really is just supposed to be amazing,ill paint part exhibition mar rover photograph detail really supposed amazing,8,1,8,8,2,8,8,8,3,8,8,27,43
1,1,skyler,its just that i really need you to paint at some point i mean the sooner that back bedroom gets finished and id do it myself except you said you dont want me standing on the stepladder,really need paint point mean sooner back bedroom get finished id except said dont want standing stepladder,8,2,8,8,9,8,8,8,1,8,8,35,41
1,1,walter,ill paint i will paint,ill paint paint,2,0,2,2,0,2,2,2,0,2,2,6,10
1,1,skyler,what is going on down there,going,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,no its just,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,skyler,is he asleep,asleep,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,walter,no its nothing you know just you know we gotta be careful about the baby,nothing know know got ta careful baby,3,2,3,3,0,3,3,3,1,3,3,11,16
1,1,skyler,dont worry about the baby this is just for you we are just doing you tonight so just close your eyes relax and let it close your eyes,dont worry baby tonight close eye relax let close eye,2,2,2,2,1,2,2,2,1,2,2,9,11
1,1,walter,okay,okay,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,skyler,there you go thats it thats it there you go keep it going keep it going keep it going keep yes 56,go thats thats go keep going keep going keep going keep yes,2,0,2,2,0,2,2,2,2,2,2,6,12
1,1,walter,this is so embarrassing i am fine honestly its just some bug going around first my wife had it then my son and now me its just like a chest cold could be some low blood sugar as well i didnt have the greatest breakfast this morning honestly hey listen can you do me a favor can you just drop me off at a corner somewhere,embarrassing fine honestly bug going around first wife son chest cold could low blood sugar didnt greatest breakfast morning honestly hey listen favor drop corner somewhere,8,4,8,8,7,8,8,8,5,8,8,35,45
1,1,walter,its just that i dont have the greatest insurance,dont greatest insurance,2,0,2,2,1,2,2,2,0,2,2,7,10
1,1,walter,god no,god,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,walter,no never why do you ask,never ask,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,walter,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,yes lung cancer inoperable,yes lung cancer inoperable,2,1,2,2,0,2,2,2,0,2,2,7,10
1,1,walter,bestcase scenario with chemo ill live maybe another couple years its just youve got mustard on yourright there mustard there right there,bestcase scenario chemo ill live maybe another couple year youve got mustard yourright mustard right,7,2,7,7,2,7,7,7,4,7,7,25,39
1,1,skyler,so my records show that i paid it and i certainly dont feel that we owe any lateall right well ill check with the bank and maybe the post office if they lost it or something yeah let me look into that okay thank you did you use the mastercard last month,record show paid certainly dont feel owe lateall right ill check bank maybe post office lost something yeah let look okay thank use mastercard last month,12,2,12,12,4,12,12,12,7,12,12,42,67
1,1,walter,we needed printer paper,needed printer paper,1,0,1,1,2,1,1,1,0,1,1,5,5
1,1,skyler,walt the mastercards the one we dont use,walt mastercards one dont use,3,0,3,3,2,3,3,3,0,3,3,11,15
1,1,walter,okay,okay,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,skyler,so how was your day,day,1,0,1,1,1,1,1,1,0,1,1,4,5
1,1,walter,oh i dont know i dont know it was um it was fine,oh dont know dont know fine,0,0,0,0,2,0,0,0,1,0,0,2,1
1,1,walter,what,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,fck you bogdan,fck bogdan,1,1,1,1,1,1,1,1,0,1,1,5,5
1,1,walter,i said fck you and your eyebrows wipe down this,said fck eyebrow wipe,1,1,1,1,1,1,1,1,0,1,1,5,5
1,1,walter,uh hank hank its walt hey oh listen i didnt wake you did i oh good good no no nothings wrong i just uh ive been uh thinking about that offer that ridealong,hank hank walt hey oh listen didnt wake oh good good nothing wrong ive thinking offer ridealong,5,0,5,5,5,5,5,5,7,5,5,20,32
1,1,hank,its the last house on the right see it not the twostory one the one next to it the kind of i dont know what do you call that green,last house right see twostory one one next kind dont know call green,2,0,2,2,2,2,2,2,2,2,2,8,12
1,1,steve,sage,sage,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,hank,sage what do you work at the fcking pottery barn jesus,sage work fcking pottery barn jesus,2,1,2,2,0,2,2,2,0,2,2,7,10
1,1,steve,sage thats the word for it my fault the only word your dumb ass knows is green,sage thats word fault word dumb as know green,4,1,4,4,3,4,4,4,1,4,4,16,21
1,1,hank,cheese dck i know that one how bout that anyway its the sage one see it,cheese dck know one bout anyway sage one see,3,1,3,3,1,3,3,3,1,3,3,11,16
1,1,walter,so what tells you its a meth lab,tell meth lab,1,1,1,1,0,1,1,1,1,1,1,4,6
1,1,hank,just our snitch says some dude goes by capn cook lives up to his name in there says he always adds a dash of chili powder ah you exuberant mexicans,snitch say dude go capn cook life name say always add dash chili powder ah exuberant mexican,11,1,11,11,6,11,11,11,4,11,11,40,59
1,1,steve,uhuh capn cook thats a white boys name dopey as hell too,uhuh capn cook thats white boy name dopey hell,3,1,3,3,1,3,3,3,5,3,3,11,20
1,1,hank,yeah tell you what i got 20 bucks that says hes a baner,yeah tell got buck say he baner,3,2,3,3,0,3,3,3,2,3,3,11,17
1,1,steve,all right youre on,right youre,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,hank,all right come on come on all right school bus is clear got the green light,right come come right school bus clear got green light,1,1,1,1,0,1,1,1,4,1,1,4,9
1,1,hank,watch this this makes em shit,watch make em shit,2,0,2,2,0,2,2,2,2,2,2,6,12
1,1,hank,meth labs are nasty on a good day you mix that shit wrong you got mustard gas,meth lab nasty good day mix shit wrong got mustard gas,5,1,5,5,3,5,5,5,2,5,5,19,27
1,1,walter,phosphine gas i think,phosphine gas think,1,0,1,1,0,1,1,1,3,1,1,3,8
1,1,hank,yeah exactly one whiff will kll you thats why the respirators,yeah exactly one whiff kll thats respirator,4,0,4,4,0,4,4,4,3,4,4,12,23
1,1,hank,copy that the suspect might he be of the latino persuasion,copy suspect might latino persuasion,2,0,2,2,0,2,2,2,1,2,2,6,11
1,1,steve,asian pay up sucker,asian pay sucker,3,0,3,3,0,3,3,3,0,3,3,9,15
1,1,hank,hey hey hey first name emilio thats at least half a baner tell you what ill let you off for a 10 cheer up gomey you people still got j lo,hey hey hey first name emilio thats least half baner tell ill let cheer gomey people still got j lo,5,1,5,5,0,5,5,5,6,5,5,16,31
1,1,walter,hank do you think i might get to go inside see the actual lab,hank think might get go inside see actual lab,4,1,4,4,1,4,4,4,3,4,4,14,23
1,1,hank,yeah yeah i tell you what were gonna go peek our heads in check it out first stay here a minute,yeah yeah tell gon na go peek head check first stay minute,5,0,5,5,1,5,5,5,4,5,5,16,29
1,1,jesse,god,god,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,walter,oh my god pinkman,oh god pinkman,1,0,1,1,1,1,1,1,1,1,1,4,6
1,1,walter,its me im alone,im alone,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,jesse,howd you find me,howd find,0,0,0,0,2,0,0,0,1,0,0,2,1
1,1,walter,youre still in our filing system so your aunt owns this place right,youre still filing system aunt owns place right,2,0,2,2,0,2,2,2,1,2,2,6,11
1,1,jesse,i own it,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,no ones looking for you,one looking,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,jesse,why are you here,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,i was curious honestly i never expected you to amount to much but methamphetamine i didnt picture that theres a lot of money in it huh,curious honestly never expected amount much methamphetamine didnt picture there lot money huh,3,0,3,3,3,3,3,3,7,3,3,12,22
1,1,jesse,i dont know what youre talking about,dont know youre talking,1,0,1,1,1,1,1,1,0,1,1,4,5
1,1,walter,no,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,jesse,not a clue,clue,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,capn cook thats not you like i said no one is looking for you,capn cook thats said one looking,3,0,3,3,1,3,3,3,1,3,3,10,16
1,1,jesse,look i dont know what you think youre doing here mr white i mean if youre planning on giving me some bowl winder about getting right with jesus by turning myself in,look dont know think youre mr white mean youre planning giving bowl winder getting right jesus turning,2,1,2,2,2,2,2,2,3,2,2,9,13
1,1,walter,not really,really,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,jesse,high school was a long time ago you aint welcome back kotter so step off no speeches,high school long time ago aint welcome back kotter step speech,3,1,3,3,0,3,3,3,4,3,3,10,19
1,1,walter,short speech you lost your partner today whats his name emilio emilio is going to prison the dea took all your money your lab you got nothing square 1 but you know the business and i know the chemistry im thinking maybe you and i could partner up,short speech lost partner today whats name emilio emilio going prison dea took money lab got nothing square know business know chemistry im thinking maybe could partner,9,3,9,9,3,9,9,9,6,9,9,33,51
1,1,jesse,you want to cook crystal meth you you and uh and me,want cook crystal meth,2,0,2,2,0,2,2,2,1,2,2,6,11
1,1,walter,thats right either that or i turn you in,thats right either turn,1,0,1,1,0,1,1,1,3,1,1,3,8
1,1,marie,what the hell is this,hell,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,skyler,damned if i know i described it as mosaic folk art,damned know described mosaic folk art,3,1,3,3,4,3,3,3,0,3,3,14,15
1,1,marie,somebody bought it,somebody bought,0,2,0,0,1,0,0,0,1,0,0,3,1
1,1,skyler,yeah some guy in minneapolis 14 dollars plus shipping,yeah guy minneapolis dollar plus shipping,3,0,3,3,1,3,3,3,2,3,3,10,17
1,1,marie,yes at this rate in 50 or 60 years youll be rich so how goes the novel,yes rate year youll rich go novel,2,0,2,2,0,2,2,2,1,2,2,6,11
1,1,skyler,its not a novel actually which i have,novel,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,marie,youre not writing a novel you told me you were,youre writing novel told,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,skyler,no short stories i said that if eventually i have enough good ones that maybe ill try and publish another collection,short story said eventually enough good one maybe ill try publish another collection,4,2,4,4,2,4,4,4,4,4,4,16,24
1,1,marie,those really didnt sell i just thought a novel would be easier to sell,really didnt sell thought novel would easier sell,2,0,2,2,3,2,2,2,2,2,2,9,12
1,1,skyler,yeah well maybe so,yeah maybe,2,1,2,2,0,2,2,2,1,2,2,7,11
1,1,marie,ever want me to read anything i could critique it for you,ever want read anything could critique,3,0,3,3,2,3,3,3,1,3,3,11,16
1,1,skyler,no i mean im not at that stage where ino,mean im stage ino,2,0,2,2,0,2,2,2,0,2,2,6,10
1,1,marie,open offer so whats up with walt lately,open offer whats walt lately,3,0,3,3,0,3,3,3,1,3,3,9,16
1,1,skyler,what do you mean hes fine,mean he fine,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,marie,he just seems i dont know quieter than usual,seems dont know quieter usual,1,0,1,1,1,1,1,1,0,1,1,4,5
1,1,skyler,turning 50 is a big deal i mean im sure as hell not looking forward to 40 youre gonna be a complete basket case,turning big deal mean im sure hell looking forward youre gon na complete basket case,6,2,6,6,2,6,6,6,1,6,6,22,31
1,1,marie,so its a midlife crisis,midlife crisis,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,skyler,no hes just quiet,he quiet,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,marie,hows the sex,hows sex,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,skyler,marie jesus,marie jesus,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,marie,guess that answers that,guess answer,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,walter,you just gonna sit there this look at this kjeldahlstyle recovery flask very rare you got your usual paraphernalia griffin beakers your erlenmeyer flask but the piece de resistance a round bottom boiling flask,gon na sit look kjeldahlstyle recovery flask rare got usual paraphernalia griffin beaker erlenmeyer flask piece de resistance round bottom boiling flask,13,3,13,13,3,13,13,13,2,13,13,45,67
1,1,jesse,well i cook in one of those the big one,cook one big one,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,walter,one of these no this is a volumetric flask you wouldnt cook in one of these,one volumetric flask wouldnt cook one,1,0,1,1,1,1,1,1,0,1,1,4,5
1,1,jesse,yeah i do,yeah,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,walter,no you dont a volumetric flask is for general mixing and titration you wouldnt apply heat to a volumetric flask thats what a boiling flask is for did you learn nothing from my chemistry class,dont volumetric flask general mixing titration wouldnt apply heat volumetric flask thats boiling flask learn nothing chemistry class,10,1,10,10,2,10,10,10,4,10,10,33,54
1,1,jesse,no you flunked me remember,flunked remember,0,1,0,0,1,0,0,0,0,0,0,2,0
1,1,walter,no wonder,wonder,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,jesse,prick now let me tell you something else this aint chemistry this is art cooking is art and the shit i cook is the bmb so dont be telling me,prick let tell something else aint chemistry art cooking art shit cook bmb dont telling,3,2,3,3,1,3,3,3,3,3,3,12,18
1,1,walter,the shit you cook is shit i saw your setup ridiculous you and i will not make garbage we will produce a chemically pure and stable product that performs as advertised no adulterants no baby formula no chili powder,shit cook shit saw setup ridiculous make garbage produce chemically pure stable product performs advertised adulterant baby formula chili powder,11,4,11,11,7,11,11,11,4,11,11,44,59
1,1,jesse,no no chili p is my signature,chili p signature,1,0,1,1,0,1,1,1,1,1,1,3,6
1,1,walter,not anymore,anymore,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,jesse,yeah well well see about that what the hell is this,yeah see hell,1,0,1,1,0,1,1,1,2,1,1,3,7
1,1,walter,lab safety equipment were also gonna have an emergency eye wash station these chemicals and their fumes are toxic in case you didnt know that,lab safety equipment also gon na emergency eye wash station chemical fume toxic case didnt know,8,1,8,8,2,8,8,8,2,8,8,27,42
1,1,jesse,well you can dress up like a fggt if you want not me listen this stuff doesnt stay more than a day,dress fggt want listen stuff doesnt stay day,3,0,3,3,3,3,3,3,0,3,3,12,15
1,1,walter,what i thought we were gonna cook here,thought gon na cook,1,0,1,1,0,1,1,1,2,1,1,3,7
1,1,jesse,no were not gonna cook here okay this is my house i dont shit where i eat,gon na cook okay house dont shit eat,3,0,3,3,1,3,3,3,2,3,3,10,17
1,1,walter,well then where are we gonna work,gon na work,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,jesse,you tell me this is your deal you want to smoke it up smoke it up at your house nah i didnt think so,tell deal want smoke smoke house nah didnt think,3,0,3,3,3,3,3,3,3,3,3,12,18
1,1,walter,oh well well what if we rented one of those selfstorage places you know those little orange garages worked out of there,oh rented one selfstorage place know little orange garage worked,5,0,5,5,2,5,5,5,1,5,5,17,26
1,1,jesse,no theyre on to that they got dogs that sniff around rv thats what you want,theyre got dog sniff around rv thats want,3,0,3,3,2,3,3,3,2,3,3,11,17
1,1,walter,what like a winnebago,winnebago,1,1,1,1,0,1,1,1,0,1,1,4,5
1,1,jesse,yeah i know a dude who wants to sell his he just goes camping with it but a mobile meth lab thatd be the bmb i mean drive way out in the boonies be all evasive,yeah know dude want sell go camping mobile meth lab thatd bmb mean drive way boonies evasive,8,5,8,8,4,8,8,8,3,8,8,33,43
1,1,jesse,dude this isnt even 7 grand my guy wants 85,dude isnt even grand guy want,2,0,2,2,3,2,2,2,0,2,2,9,10
1,1,walter,this is all the money i have in the world youre a drug dealer negotiate,money world youre drug dealer negotiate,2,0,2,2,3,2,2,2,0,2,2,9,10
1,1,jesse,you are not how i remember you from class i mean like not at all,remember class mean,2,1,2,2,0,2,2,2,0,2,2,7,10
1,1,walter,i gotta go,got ta go,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,jesse,wait wait hold on tell me why youre doing this seriously,wait wait hold tell youre seriously,2,0,2,2,1,2,2,2,1,2,2,7,11
1,1,walter,why do you do it,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,jesse,money mainly,money mainly,1,0,1,1,0,1,1,1,0,1,1,3,5
1,1,walter,there you go,go,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,jesse,nah come on man some straight like you giant stick up his ass all of a sudden at age what 60 hes just gonna break bad,nah come man straight giant stick as sudden age he gon na break bad,9,2,9,9,3,9,9,9,3,9,9,32,48
1,1,walter,im 50,im,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,jesse,its weird is all okay it doesnt compute listen if youve gone crazy or something i mean if youve if youve gone crazy or depressed im just saying thats something i need to know about okay i mean that affects me,weird okay doesnt compute listen youve gone crazy something mean youve youve gone crazy depressed im saying thats something need know okay mean affect,9,0,9,9,5,9,9,9,3,9,9,32,48
1,1,walter,i am awake,awake,2,0,2,2,0,2,2,2,0,2,2,6,10
1,1,jesse,what,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,walter,buy the rv we start tomorrow,buy rv start tomorrow,1,1,1,1,0,1,1,1,0,1,1,4,5
1,1,skyler,hows it coming in there,hows coming,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,walter jr,fine,fine,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,skyler,do you want me or your dad,want dad,2,0,2,2,2,2,2,2,0,2,2,8,10
1,1,walter jr,dad,dad,1,0,1,1,2,1,1,1,0,1,1,5,5
