Keyword,Level
overdose,Level 4: Dehumanizing Evil
deal drugs,Level 3: Aggressive Evil
sell meth,Level 3: Aggressive Evil
cook meth,Level 4: Dehumanizing Evil
violence,Level 4: Dehumanizing Evil
crime,Level 3: Aggressive Evil
meth,Level 3: Aggressive Evil
blue,Level 3: Aggressive Evil
ice,Level 3: Aggressive Evil
crystal,Level 4: Dehumanizing Evil
deal,Level 3: Aggressive Evil
cartel,Level 3: Aggressive Evil
money laundering,Level 3: Aggressive Evil
gun,Level 3: Aggressive Evil
gang,Level 5: Sadistic Evil
tuco,Level 5: Sadistic Evil
tortuga,Level 5: Sadistic Evil
DEA,Level 5: Sadistic Evil
extortion,Level 5: Sadistic Evil
kidnap,Level 4: Dehumanizing Evil
torture,Level 5: Sadistic Evil
mass murder,Level 3: Aggressive Evil
shooting,Level 4: Dehumanizing Evil
execution,Level 3: Aggressive Evil
criminal empire,Level 5: Sadistic Evil
hired killer,Level 4: Dehumanizing Evil
abandon,Level 4: Dehumanizing Evil
betray,Level 3: Aggressive Evil
corrupt,Level 4: Dehumanizing Evil
abuse,Level 4: Dehumanizing Evil
violate,Level 3: Aggressive Evil
blackmail,Level 4: Dehumanizing Evil
dominate,Level 3: Aggressive Evil
lowlife,Level 3: Aggressive Evil
scum,Level 3: Aggressive Evil
traitor,Level 4: Dehumanizing Evil
coward,Level 4: Dehumanizing Evil
snake,Level 3: Aggressive Evil
drug cartel,Level 3: Aggressive Evil
selfishness,Level 1: Selfish Evil
narcissism,Level 1: Selfish Evil
greed,Level 1: Selfish Evil
avarice,Level 1: Selfish Evil
indifference,Level 1: Selfish Evil
lack of empathy,Level 1: Selfish Evil
self-indulgence,Level 1: Selfish Evil
exploit,Level 1: Selfish Evil
manipulation,Level 2: Manipulative Evil
deception,Level 2: Manipulative Evil
betrayal,Level 2: Manipulative Evil
falsehood,Level 2: Manipulative Evil
double-dealing,Level 2: Manipulative Evil
scheming,Level 2: Manipulative Evil
exploiting others,Level 2: Manipulative Evil
using people,Level 2: Manipulative Evil
violence,Level 3: Aggressive Evil
hit,Level 3: Aggressive Evil
kill,Level 3: Aggressive Evil
hurt,Level 3: Aggressive Evil
abuse,Level 3: Aggressive Evil
harass,Level 3: Aggressive Evil
control through fear,Level 3: Aggressive Evil
dominate,Level 3: Aggressive Evil
dehumanize,Level 4: Dehumanizing Evil
indifference,Level 4: Dehumanizing Evil
lack of remorse,Level 4: Dehumanizing Evil
objectify,Level 4: Dehumanizing Evil
instrumentalize,Level 4: Dehumanizing Evil
lack of empathy,Level 4: Dehumanizing Evil
treat others as tools,Level 4: Dehumanizing Evil
without guilt,Level 4: Dehumanizing Evil
sadism,Level 5: Sadistic Evil
torture,Level 5: Sadistic Evil
delight in suffering,Level 5: Sadistic Evil
humiliation,Level 5: Sadistic Evil
extreme cruelty,Level 5: Sadistic Evil
merciless,Level 5: Sadistic Evil
revenge,Level 5: Sadistic Evil
pleasure in others' pain,Level 5: Sadistic Evil
